county_fips,votes_gop,votes_dem,total_votes,per_point_diff
5103,5056,3412,8626,0.1905865986552284
5105,3559,923,4584,0.5750436300174521
5107,2098,2754,4938,-0.1328473066018631
5109,3746,560,4358,0.7310692978430473
5111,5731,1235,7079,0.6351179545133494
5113,6987,1145,8288,0.7048745173745173
5115,18118,5487,24191,0.522136331693605
5117,2628,524,3200,0.6575
5119,57977,92038,153924,-0.2212845300278059
5121,5367,1138,6636,0.6372814948764316
5123,2909,2953,5979,-0.0073590901488543
5125,39736,16609,57609,0.4014476904650315
5127,2913,425,3384,0.735224586288416
5129,3305,511,3869,0.7221504264667873
5131,30719,13652,45452,0.3754950277215524
5133,3772,862,4714,0.6173101400084854
5135,5978,1316,7437,0.6268656716417911
5137,4808,1089,6030,0.6167495854063018
5139,10196,5019,15448,0.335124287933713
5141,6023,1437,7621,0.6017582994357696
5143,50243,43779,97158,0.066530805492085
5145,24514,5641,30837,0.6120245160035023
5147,1513,760,2318,0.3248490077653149
5149,5147,1213,6477,0.6073799598579589
6001,140789,499551,669800,-0.5356255598686175
6003,243,479,738,-0.3197831978319783
6005,14018,7783,22402,0.2783233639853585
6007,47179,44228,94523,0.0312199147297482
6009,16625,9181,26479,0.2811284414063976
6011,4414,2431,7021,0.282438399088449
6013,155308,356008,528904,-0.3794639480888782
6015,5999,4266,10564,0.1640477092010601
6017,61109,47703,111890,0.1198141031370095
6019,165924,151628,325994,0.0438535678570771
6021,6904,3260,10442,0.348975292089638
6023,21559,39800,64228,-0.2840038612443171
6025,26546,26083,54025,0.0085701064322073
6027,4468,4201,8951,0.0298290693777231
6029,167879,108241,283246,0.2105519583683441
6031,25074,15519,41501,0.230235416014072
6033,13161,12794,26759,0.0137150117717403
6035,8619,2478,11371,0.5400580423885323
6037,1189862,2417109,3728427,-0.3291594551804286
6039,32344,20981,54624,0.2080221148213239
6041,24054,116152,144113,-0.639067953619729
6043,5625,3622,9509,0.2106425491639499
6045,13528,24049,39216,-0.2682833537331701
6047,43955,40190,86392,0.0435804241133437
6049,2884,1008,4016,0.4671314741035857
6051,2294,3522,6064,-0.2025065963060686
6053,49226,93060,146718,-0.2987636145530882
6055,20357,43212,65549,-0.3486704602663655
6057,26177,33784,62132,-0.1224328848258546
6059,654815,691731,1390965,-0.0265398482348585
6061,123941,103958,234809,0.0851032115464057
6063,5725,4020,10067,0.1693652528061984
6065,463677,451782,940405,0.0126488055678138
6067,252140,381564,656626,-0.1971045922640893
6069,11702,15179,27649,-0.1257550001808384
6071,378416,362114,761714,0.0214017334590148
6073,593270,841372,1477786,-0.1678876373169052
6075,62594,323719,402964,-0.6480107404135357
6077,128996,126647,263671,0.0089088295641158
6079,64932,81314,150766,-0.1086584508443548
6081,76616,242957,330510,-0.5032858309884725
6083,64870,114149,184715,-0.2667839644858295
6085,210924,510744,750433,-0.3995293383952997
6087,27978,100998,134135,-0.5443769336862117
